version,workload,function,n_samples,avg_ms,median_ms,std_ms,p95_ms,min_ms,max_ms,scan_count_mode,scan_points_mode,candidate_count_mode,branch_nodes_avg,score_all_calls_avg,sort_ms_avg
L2_final_branch_th0,W2,Branch,448,87.452740,53.548900,98.523866,232.794000,12.518300,1112.430000,21,1081,54621,93.672,49.156,0.024234
L2_final_branch_th0,W2,MakeBounds,448,0.000690,0.000677,0.000123,0.000938,0.000520,0.001354,21,1081,0,0.000,0.000,0.000000
L2_final_branch_th0,W2,MakeLowCands,448,0.329452,0.325421,0.013418,0.370318,0.321723,0.413183,21,1081,54621,0.000,0.000,0.000000
L2_final_branch_th0,W2,MakeScans,448,1.006341,0.994754,0.031625,1.052620,0.952826,1.206420,21,1081,0,0.000,0.000,0.000000
L2_final_branch_th0,W2,Score,448,121.471911,122.582000,12.469338,139.075000,98.244500,172.779000,21,1081,54621,0.000,21.000,6.975605
L2_final_branch_th0,W2,ToOut,448,0.011303,0.011093,0.002715,0.012761,0.008542,0.057709,21,1081,54621,0.000,0.000,0.000000
L2_final_branch_th0,W2,Total,448,210.273777,178.530500,101.510155,369.189000,113.844000,1232.380000,21,1081,54621,93.672,70.156,6.999839
L2_final_branch_th16,W2,Branch,796,1.605631,0.912383,1.906452,4.647360,0.127710,13.870900,21,1081,54621,121.136,0.000,0.009984
L2_final_branch_th16,W2,MakeBounds,796,0.000803,0.000781,0.000135,0.001094,0.000573,0.001303,21,1081,0,0.000,0.000,0.000000
L2_final_branch_th16,W2,MakeLowCands,796,0.325537,0.321619,0.010875,0.348077,0.315994,0.410891,21,1081,54621,0.000,0.000,0.000000
L2_final_branch_th16,W2,MakeScans,796,1.000424,0.994806,0.027669,1.032880,0.943712,1.271370,21,1081,0,0.000,0.000,0.000000
L2_final_branch_th16,W2,Score,796,114.543790,115.736000,10.210161,128.616000,91.338300,173.406000,21,1081,54621,0.000,21.000,6.995769
L2_final_branch_th16,W2,ToOut,796,0.010184,0.009844,0.003994,0.011563,0.007813,0.108075,21,1081,54621,0.000,0.000,0.000000
L2_final_branch_th16,W2,Total,796,117.487541,118.649500,10.782848,132.705000,93.016100,175.529000,21,1081,54621,121.136,21.000,7.005753
L2_final_branch_th4,W2,Branch,808,1.631720,0.935299,1.939465,5.166430,0.130523,18.278300,21,1081,54621,122.454,0.000,0.010208
L2_final_branch_th4,W2,MakeBounds,808,0.000744,0.000729,0.000139,0.000990,0.000520,0.001459,21,1081,0,0.000,0.000,0.000000
L2_final_branch_th4,W2,MakeLowCands,808,0.325239,0.321671,0.010674,0.347141,0.315421,0.427089,21,1081,54621,0.000,0.000,0.000000
L2_final_branch_th4,W2,MakeScans,808,0.998450,0.994155,0.024708,1.023500,0.944232,1.214180,21,1081,0,0.000,0.000,0.000000
L2_final_branch_th4,W2,Score,808,112.718596,114.024500,10.048370,129.491000,92.315300,172.493000,21,1081,54621,0.000,21.000,7.019267
L2_final_branch_th4,W2,ToOut,808,0.010317,0.010156,0.001321,0.011823,0.007917,0.028542,21,1081,54621,0.000,0.000,0.000000
L2_final_branch_th4,W2,Total,808,115.686220,116.683000,10.561787,133.463000,93.855700,174.534000,21,1081,54621,122.454,21.000,7.029474
