version,workload,function,n_samples,avg_ms,median_ms,p95_ms,std_ms,scan_count,scan_points,candidate_count,score_all_calls_avg,branch_nodes_avg
L0_relaunch3,W0,Branch,1363,129.8286386647102,106.517,300.13,77.95124706868035,15,1081,3840,35.76008804108584,66.80410858400587
L0_relaunch3,W0,MakeBounds,1363,0.0007961834189288335,0.000781,0.001042,0.00011789716562832293,15,1081,0,0.0,0.0
L0_relaunch3,W0,MakeLowCands,1363,0.1204413257520176,0.119064,0.124585,0.008654705926377565,15,1081,3840,0.0,0.0
L0_relaunch3,W0,MakeScans,1363,0.7302292934702861,0.724958,0.775531,0.020785835810112903,15,1081,0,0.0,0.0
L0_relaunch3,W0,Score,1363,77.96309325018342,79.075,81.4945,3.4373405551421423,15,1081,3840,15.0,0.0
L0_relaunch3,W0,ToOut,1363,0.011550216434336024,0.011355,0.013438,0.002467141314983752,15,1081,3840,0.0,0.0
L0_relaunch3,W0,Total,1363,208.65591636096846,185.178,379.028,78.8801207987662,15,1081,3840,50.76008804108584,66.80410858400587
L0_relaunch3,W1,Branch,2007,73.5488529546587,49.4207,167.916,102.99285914843976,15,1081,14415,39.54260089686099,74.40159441953163
L0_relaunch3,W1,MakeBounds,2007,0.0007764359740906826,0.000729,0.00099,0.00011228142946688,15,1081,0,0.0,0.0
L0_relaunch3,W1,MakeLowCands,2007,0.3922980812157449,0.383495,0.441673,0.03542553762019486,15,1081,14415,0.0,0.0
L0_relaunch3,W1,MakeScans,2007,0.741213408570005,0.726103,0.78199,0.23999314232035274,15,1081,0,0.0,0.0
L0_relaunch3,W1,Score,2007,65.75294439461884,66.8163,74.7376,6.9891330200213355,15,1081,14415,15.0,0.0
L0_relaunch3,W1,ToOut,2007,0.011559841554559044,0.011354,0.013386,0.0020640666093669226,15,1081,14415,0.0,0.0
L0_relaunch3,W1,Total,2007,140.44882381664175,117.965,236.227,103.68844598803393,15,1081,14415,54.54260089686099,74.40159441953163
L0_relaunch3,W2,Branch,1413,81.9410013871196,50.9256,229.262,91.28033367351016,21,1081,54621,49.282377919320595,94.02618542108988
L0_relaunch3,W2,MakeBounds,1413,0.0008558011323425336,0.000833,0.001094,0.00012399703322260851,21,1081,0,0.0,0.0
L0_relaunch3,W2,MakeLowCands,1413,2.872228372257608,2.86311,2.99087,0.06947196585763772,21,1081,54621,0.0,0.0
L0_relaunch3,W2,MakeScans,1413,1.0094072604387827,0.994493,1.07022,0.034420028142968136,21,1081,0,0.0,0.0
L0_relaunch3,W2,Score,1413,113.72349688605803,114.225,129.958,11.113992431948674,21,1081,54621,21.0,0.0
L0_relaunch3,W2,ToOut,1413,0.011904646850672329,0.011719,0.013542,0.001703584221653878,21,1081,54621,0.0,0.0
L0_relaunch3,W2,Total,1413,199.56040976645434,170.156,352.433,93.92032248029676,21,1081,54621,70.2823779193206,94.02618542108988
L2_relaunch3,W0,Branch,3489,1.0058479650329608,0.801938,2.15691,0.6205006803841108,15,1081,3840,0.0,75.56176554886787
L2_relaunch3,W0,MakeBounds,3489,0.0007032714244769275,0.000677,0.000938,0.0004779340520731145,15,1081,0,0.0,0.0
L2_relaunch3,W0,MakeLowCands,3489,0.026929218400687877,0.026563,0.027449,0.0035714985047259843,15,1081,3840,0.0,0.0
L2_relaunch3,W0,MakeScans,3489,0.7293410392662654,0.725114,0.771521,0.02154224246425271,15,1081,0,0.0,0.0
L2_relaunch3,W0,Score,3489,78.50084772141015,79.4759,81.5758,3.117045900304584,15,1081,3840,15.0,0.0
L2_relaunch3,W0,ToOut,3489,0.009903773287474922,0.009584,0.011459,0.002292742827628959,15,1081,3840,0.0,0.0
L2_relaunch3,W0,Total,3489,80.27461421610776,81.4651,83.8384,3.3371212880792545,15,1081,3840,15.0,75.56176554886787
L2_relaunch3,W1,Branch,3983,1.2034501343208637,0.825428,3.23619,1.0809215884133223,15,1081,14415,0.0,90.6259101180015
L2_relaunch3,W1,MakeBounds,3983,0.0007099718804920915,0.000677,0.000938,0.0003425153458493416,15,1081,0,0.0,0.0
L2_relaunch3,W1,MakeLowCands,3983,0.09076014185287472,0.089585,0.09271,0.006654925392717423,15,1081,14415,0.0,0.0
L2_relaunch3,W1,MakeScans,3983,0.7296674318353,0.725323,0.772928,0.020823746740385014,15,1081,0,0.0,0.0
L2_relaunch3,W1,Score,3983,67.73966776299272,67.4489,81.4292,7.5559044600127105,15,1081,14415,15.0,0.0
L2_relaunch3,W1,ToOut,3983,0.01096254280692945,0.010729,0.012761,0.0020277899105327745,15,1081,14415,0.0,0.0
L2_relaunch3,W1,Total,3983,69.7762734622144,69.5073,83.5557,7.76056886669576,15,1081,14415,15.0,90.6259101180015
L2_relaunch3,W2,Branch,2275,1.6076782281318682,0.900273,5.30903,1.9040481073476636,21,1081,54621,0.0,123.41846153846154
L2_relaunch3,W2,MakeBounds,2275,0.0007806742857142858,0.000729,0.001042,0.0004868802014243468,21,1081,0,0.0,0.0
L2_relaunch3,W2,MakeLowCands,2275,0.34246451516483517,0.324432,0.386047,0.02777814955486186,21,1081,54621,0.0,0.0
L2_relaunch3,W2,MakeScans,2275,0.998816301978022,0.994858,1.02626,0.023767326737034442,21,1081,0,0.0,0.0
L2_relaunch3,W2,Score,2275,120.42650307692308,121.377,139.127,11.849500813751256,21,1081,54621,21.0,0.0
L2_relaunch3,W2,ToOut,2275,0.010326714285714286,0.010208,0.011979,0.0011724215115108338,21,1081,54621,0.0,0.0
L2_relaunch3,W2,Total,2275,123.38776197802198,124.344,142.096,12.1357896265764,21,1081,54621,21.0,123.41846153846154
