tag,rep,alloc_ms,h2d_ms,kernel_ms,d2h_ms,free_ms,total_ms,best_score
A_raw,0,0.8878,0.3479,11.7076,0.2221,0.2806,13.4460,0.625652
A_raw,1,0.8358,0.3707,11.7076,0.2599,0.2756,13.4496,0.625652
A_raw,2,0.8300,0.3941,11.7070,0.2751,0.2745,13.4807,0.625652
A_raw,3,0.8279,0.3492,11.7082,0.2612,0.2776,13.4241,0.625652
A_raw,4,0.8304,0.3477,11.7076,0.2463,0.2723,13.4042,0.625652
A_raw,5,0.8600,0.3485,11.7107,0.2321,0.2798,13.4311,0.625652
A_raw,6,0.9265,0.3490,11.7093,0.2556,0.2760,13.5164,0.625652
A_raw,7,0.8350,0.3485,11.7113,0.2778,0.3311,13.5038,0.625652
A_raw,8,0.8397,0.3624,11.7107,0.8462,0.2923,14.0513,0.625652
A_raw,9,0.8342,0.3601,11.7185,0.2711,0.2834,13.4673,0.625652
A_avg,mean,0.8507,0.3578,11.7098,0.3148,0.2843,13.5174,0.000000
A_pct,pct,6.3%,2.6%,86.6%,2.3%,2.1%,100%,-
